Player ID,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage,Total Years
brocklo01,938,307,0.753,19
hoydu01,594,0,0.0,14
anderjo01,338,0,0.0,14
stirnsn01,134,55,0.709,10
huntebr02,260,61,0.81,10
ricesa01,351,143,0.711,20
soriaal01,289,84,0.775,16
vaughar01,118,90,0.567,14
colemvi01,752,177,0.809,13
loftoke01,622,160,0.795,17
galanau01,123,104,0.542,16
hartsto01,247,0,0.0,14
hackst01,165,163,0.503,16
bayha01,169,0,0.0,8
harpeto01,408,116,0.779,15
campabe01,649,199,0.765,19
sheckji01,465,0,0.0,17
grissma02,429,116,0.787,17
henderi01,1406,335,0.808,25
troutmi01,214,38,0.849,15
damonjo01,408,103,0.798,18
cabaljo01,119,30,0.799,3
chapmbe01,287,135,0.68,15
aparilu01,506,136,0.788,18
gordode01,336,102,0.767,11
mondera02,133,26,0.836,8
crawfca02,480,109,0.815,15
otisam01,341,93,0.786,17
chancfr01,401,0,1.0,17
werbebi01,215,95,0.694,11
northbi01,395,162,0.709,11
jenseja01,143,55,0.722,11
mateojo01,106,21,0.835,6
villajo01,239,66,0.784,10
ruizes01,77,19,0.802,4
maisefr01,194,29,0.87,6
delacel01,139,32,0.813,3
reynoha01,250,138,0.644,12
tolanbo01,193,100,0.659,13
cuyleki01,328,148,0.689,18
rivermi01,267,90,0.748,15
lopesda01,557,114,0.83,16
hoffmda01,185,0,0.0,9
crispco01,309,79,0.796,15
burnsge01,383,185,0.674,15
altuvjo01,325,96,0.772,15
freylo01,105,75,0.583,14
wilsowi02,668,134,0.833,19
fogarji01,325,0,0.0,7
milancl01,495,109,0.82,16
younger03,162,39,0.806,10
figgich01,341,119,0.741,12
gehrich01,181,89,0.67,19
suzukic01,509,117,0.813,19
dillibo01,106,50,0.679,6
laryly01,162,49,0.768,12
dimagdo01,100,62,0.617,11
schoere01,89,60,0.597,19
sislege01,375,127,0.747,15
brownto01,657,0,0.0,17
smithma05,120,34,0.779,5
myerbu01,156,109,0.589,17
willsma01,586,208,0.738,14
biggicr01,414,124,0.77,20
morenom01,487,182,0.728,12
mostijo01,176,105,0.626,10
younger01,465,168,0.735,15
reyesjo01,517,127,0.803,16
devliar01,285,8,0.973,10
riverji01,160,70,0.696,10
taverwi01,195,44,0.816,7
womacto01,363,74,0.831,13
podsesc01,309,104,0.748,11
casege01,349,109,0.762,11
acunaro01,205,50,0.804,8
bertijo01,108,24,0.818,8
kleinch01,79,49,0.617,17
murtada01,49,22,0.69,9
robinja02,197,76,0.722,10
isbelfr01,253,0,0.0,10
doughpa01,261,0,0.0,10
barrejo01,69,0,0.0,5
mcmanma01,126,91,0.581,15
raineti01,808,146,0.847,23
castilu01,370,142,0.723,15
beschbo01,427,53,0.89,11
ellsbja01,343,71,0.829,11
davisra01,415,108,0.793,14
reisepe01,87,39,0.69,10
brutobi01,207,89,0.699,12
cabreev01,138,38,0.784,7
friscfr01,419,182,0.697,19
donovpa01,518,0,0.0,17
carrch02,144,52,0.735,8
reesepe01,232,99,0.701,16
andreed01,205,0,0.0,8
bournmi01,341,94,0.784,11
pierrju01,614,203,0.752,14
merriwh01,218,56,0.796,9
careyma01,738,215,0.774,20
ashburi01,234,141,0.624,15
cruzon01,74,10,0.881,5
lefloro01,455,142,0.762,9
storytr01,160,37,0.812,10
mayswi01,338,103,0.766,22
turnetr01,315,53,0.856,11
taverfr01,300,106,0.739,11
verasqu01,183,83,0.688,7
jethrsa01,98,23,0.81,4
patekfr01,385,131,0.746,14
crosefr01,113,62,0.646,17
