Player ID,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage,Year,Team
brocklo01,0,0,0.0,1961,Cubs
brocklo01,16,7,0.696,1962,Cubs
brocklo01,24,12,0.667,1963,Cubs
brocklo01,10,3,0.769,1964,Cubs
brocklo01,33,15,0.688,1964,Cardinals
brocklo01,63,27,0.7,1965,Cardinals
brocklo01,74,18,0.804,1966,Cardinals
brocklo01,52,18,0.743,1967,Cardinals
brocklo01,62,12,0.838,1968,Cardinals
brocklo01,53,14,0.791,1969,Cardinals
brocklo01,51,15,0.773,1970,Cardinals
brocklo01,64,19,0.771,1971,Cardinals
brocklo01,63,18,0.778,1972,Cardinals
brocklo01,70,20,0.778,1973,Cardinals
brocklo01,118,33,0.781,1974,Cardinals
brocklo01,56,16,0.778,1975,Cardinals
brocklo01,56,19,0.747,1976,Cardinals
brocklo01,35,24,0.593,1977,Cardinals
brocklo01,17,5,0.773,1978,Cardinals
brocklo01,21,12,0.636,1979,Cardinals
hoydu01,82,0,0.0,1888,Senators
hoydu01,35,0,0.0,1889,Senators
hoydu01,39,0,0.0,1890,Bisons
hoydu01,59,0,0.0,1891,Browns
hoydu01,60,0,0.0,1892,Senators
hoydu01,48,0,0.0,1893,Senators
hoydu01,27,0,0.0,1894,Reds
hoydu01,50,0,0.0,1895,Reds
hoydu01,50,0,0.0,1896,Reds
hoydu01,37,0,0.0,1897,Reds
hoydu01,37,0,0.0,1898,Colonels
hoydu01,32,0,0.0,1899,Colonels
hoydu01,27,0,0.0,1901,White Sox
hoydu01,11,0,0.0,1902,Reds
anderjo01,7,0,0.0,1894,Bridegrooms
anderjo01,24,0,0.0,1895,Bridegrooms
anderjo01,37,0,0.0,1896,Bridegrooms
anderjo01,29,0,0.0,1897,Bridegrooms
anderjo01,2,0,0.0,1898,Bridegrooms
anderjo01,18,0,0.0,1898,Senators
anderjo01,25,0,0.0,1899,Superbas
anderjo01,35,0,0.0,1901,Brewers
anderjo01,15,0,0.0,1902,Browns
anderjo01,16,0,0.0,1903,Browns
anderjo01,20,0,0.0,1904,Highlanders
anderjo01,9,0,0.0,1905,Highlanders
anderjo01,22,0,0.0,1905,Senators
anderjo01,39,0,0.0,1906,Senators
anderjo01,19,0,0.0,1907,Senators
anderjo01,21,0,0.0,1908,White Sox
stirnsn01,11,9,0.55,1943,Yankees
stirnsn01,55,11,0.833,1944,Yankees
stirnsn01,33,17,0.66,1945,Yankees
stirnsn01,18,6,0.75,1946,Yankees
stirnsn01,5,3,0.625,1947,Yankees
stirnsn01,5,4,0.556,1948,Yankees
stirnsn01,3,2,0.6,1949,Yankees
stirnsn01,0,0,0.0,1950,Yankees
stirnsn01,3,3,0.5,1950,Browns
stirnsn01,1,0,1.0,1951,Indians
stirnsn01,0,0,0.0,1952,Indians
huntebr02,2,1,0.667,1994,Astros
huntebr02,24,7,0.774,1995,Astros
huntebr02,35,9,0.795,1996,Astros
huntebr02,74,18,0.804,1997,Tigers
huntebr02,42,12,0.778,1998,Tigers
huntebr02,0,3,0.0,1999,Tigers
huntebr02,44,5,0.898,1999,Mariners
huntebr02,15,3,0.833,2000,Rockies
huntebr02,5,0,1.0,2000,Reds
huntebr02,14,3,0.824,2001,Phillies
huntebr02,5,0,1.0,2002,Astros
huntebr02,0,0,0.0,2003,Astros
ricesa01,0,0,0.0,1915,Senators
ricesa01,4,0,1.0,1916,Senators
ricesa01,35,0,0.0,1917,Senators
ricesa01,1,0,0.0,1918,Senators
ricesa01,26,0,0.0,1919,Senators
ricesa01,63,30,0.677,1920,Senators
ricesa01,26,12,0.684,1921,Senators
ricesa01,20,9,0.69,1922,Senators
ricesa01,20,8,0.714,1923,Senators
ricesa01,24,13,0.649,1924,Senators
ricesa01,26,11,0.703,1925,Senators
ricesa01,24,23,0.511,1926,Senators
ricesa01,19,6,0.76,1927,Senators
ricesa01,16,3,0.842,1928,Senators
ricesa01,16,8,0.667,1929,Senators
ricesa01,13,8,0.619,1930,Senators
ricesa01,6,5,0.545,1931,Senators
ricesa01,7,4,0.636,1932,Senators
ricesa01,0,2,0.0,1933,Senators
ricesa01,5,1,0.833,1934,Indians
soriaal01,0,1,0.0,1999,Yankees
soriaal01,2,0,1.0,2000,Yankees
soriaal01,43,14,0.754,2001,Yankees
soriaal01,41,13,0.759,2002,Yankees
soriaal01,35,8,0.814,2003,Yankees
soriaal01,18,5,0.783,2004,Rangers
soriaal01,30,2,0.938,2005,Rangers
soriaal01,41,17,0.707,2006,Nationals
soriaal01,19,6,0.76,2007,Cubs
soriaal01,19,3,0.864,2008,Cubs
soriaal01,9,2,0.818,2009,Cubs
soriaal01,5,1,0.833,2010,Cubs
soriaal01,2,1,0.667,2011,Cubs
soriaal01,6,2,0.75,2012,Cubs
soriaal01,10,5,0.667,2013,Cubs
soriaal01,8,4,0.667,2013,Yankees
soriaal01,1,0,1.0,2014,Yankees
vaughar01,10,10,0.5,1932,Pirates
vaughar01,3,11,0.214,1933,Pirates
vaughar01,10,4,0.714,1934,Pirates
vaughar01,4,7,0.364,1935,Pirates
vaughar01,6,9,0.4,1936,Pirates
vaughar01,7,8,0.467,1937,Pirates
vaughar01,14,8,0.636,1938,Pirates
vaughar01,12,5,0.706,1939,Pirates
vaughar01,12,10,0.545,1940,Pirates
vaughar01,8,3,0.727,1941,Pirates
vaughar01,8,2,0.8,1942,Dodgers
vaughar01,20,11,0.645,1943,Dodgers
vaughar01,4,1,0.8,1947,Dodgers
vaughar01,0,1,0.0,1948,Dodgers
colemvi01,110,25,0.815,1985,Cardinals
colemvi01,107,14,0.884,1986,Cardinals
colemvi01,109,22,0.832,1987,Cardinals
colemvi01,81,27,0.75,1988,Cardinals
colemvi01,65,10,0.867,1989,Cardinals
colemvi01,77,17,0.819,1990,Cardinals
colemvi01,37,14,0.725,1991,Mets
colemvi01,24,9,0.727,1992,Mets
colemvi01,38,13,0.745,1993,Mets
colemvi01,50,8,0.862,1994,Royals
colemvi01,26,9,0.743,1995,Royals
colemvi01,16,7,0.696,1995,Mariners
colemvi01,12,2,0.857,1996,Reds
colemvi01,0,0,0.0,1997,Tigers
loftoke01,2,1,0.667,1991,Astros
loftoke01,66,12,0.846,1992,Indians
loftoke01,70,14,0.833,1993,Indians
loftoke01,60,12,0.833,1994,Indians
loftoke01,54,15,0.783,1995,Indians
loftoke01,75,17,0.815,1996,Indians
loftoke01,27,20,0.574,1997,Braves
loftoke01,54,10,0.844,1998,Indians
loftoke01,25,6,0.806,1999,Indians
loftoke01,30,7,0.811,2000,Indians
loftoke01,16,8,0.667,2001,Indians
loftoke01,22,8,0.733,2002,White Sox
loftoke01,7,3,0.7,2002,Giants
loftoke01,18,5,0.783,2003,Pirates
