Player ID,Uniform Numbers,Salary,Year,Team
brocklo01,24,4800.0,1961,Chicago Cubs
brocklo01,24,8000.0,1962,Chicago Cubs
brocklo01,24,9500.0,1963,Chicago Cubs
brocklo01,24,12000.0,1964,Chicago Cubs
brocklo01,20,20000.0,1964,St. Louis Cardinals
brocklo01,20,27500.0,1965,St. Louis Cardinals
brocklo01,20,40000.0,1966,St. Louis Cardinals
brocklo01,20,65000.0,1967,St. Louis Cardinals
brocklo01,20,70000.0,1968,St. Louis Cardinals
brocklo01,20,80000.0,1969,St. Louis Cardinals
brocklo01,20,85000.0,1970,St. Louis Cardinals
brocklo01,20,110000.0,1971,St. Louis Cardinals
brocklo01,20,110000.0,1972,St. Louis Cardinals
brocklo01,20,110000.0,1973,St. Louis Cardinals
brocklo01,20,135000.0,1974,St. Louis Cardinals
brocklo01,20,180000.0,1975,St. Louis Cardinals
brocklo01,20,185000.0,1976,St. Louis Cardinals
brocklo01,20,150000.0,1977,St. Louis Cardinals
brocklo01,20,140000.0,1978,St. Louis Cardinals
brocklo01,20,125000.0,1979,St. Louis Cardinals
stirnsn01,2,5500.0,1943,New York Yankees
stirnsn01,2,8500.0,1944,New York Yankees
stirnsn01,1,16000.0,1945,New York Yankees
stirnsn01,1,16000.0,1946,New York Yankees
stirnsn01,1,16000.0,1947,New York Yankees
stirnsn01,1,16000.0,1948,New York Yankees
stirnsn01,1,17500.0,1949,New York Yankees
stirnsn01,1,17500.0,1950,New York Yankees
stirnsn01,2,17500.0,1950,St. Louis Browns
stirnsn01,5,15500.0,1951,Cleveland Indians
stirnsn01,5,13000.0,1952,Cleveland Indians
huntebr02,19,109000.0,1994,Houston Astros
huntebr02,19,109000.0,1995,Houston Astros
huntebr02,19,180000.0,1996,Houston Astros
huntebr02,21,310000.0,1997,Detroit Tigers
huntebr02,21,562500.0,1998,Detroit Tigers
huntebr02,21,1750000.0,1999,Detroit Tigers
huntebr02,22,1750000.0,1999,Seattle Mariners
huntebr02,12,300000.0,2000,Colorado Rockies
huntebr02,44,300000.0,2000,Cincinnati Reds
huntebr02,12,900000.0,2001,Philadelphia Phillies
huntebr02,21,1000000.0,2002,Houston Astros
huntebr02,21,,2003,Houston Astros
ricesa01,2,,1931,Washington Senators
ricesa01,22,,1932,Washington Senators
ricesa01,22,,1933,Washington Senators
ricesa01,29,,1934,Cleveland Indians
soriaal01,58,200000.0,1999,New York Yankees
soriaal01,"53, 33",200000.0,2000,New York Yankees
soriaal01,33,630000.0,2001,New York Yankees
soriaal01,12,630000.0,2002,New York Yankees
soriaal01,12,800000.0,2003,New York Yankees
soriaal01,12,5400000.0,2004,Texas Rangers
soriaal01,12,7500000.0,2005,Texas Rangers
soriaal01,12,10000000.0,2006,Washington Nationals
soriaal01,12,10000000.0,2007,Chicago Cubs
soriaal01,12,14000000.0,2008,Chicago Cubs
soriaal01,12,17000000.0,2009,Chicago Cubs
soriaal01,12,19000000.0,2010,Chicago Cubs
soriaal01,12,19000000.0,2011,Chicago Cubs
soriaal01,12,18000000.0,2012,Chicago Cubs
soriaal01,12,19000000.0,2013,Chicago Cubs
soriaal01,12,19000000.0,2013,New York Yankees
soriaal01,12,18000000.0,2014,New York Yankees
vaughar01,21,,1932,Pittsburgh Pirates
vaughar01,21,,1933,Pittsburgh Pirates
vaughar01,21,,1934,Pittsburgh Pirates
vaughar01,21,,1935,Pittsburgh Pirates
vaughar01,21,,1936,Pittsburgh Pirates
vaughar01,21,,1937,Pittsburgh Pirates
vaughar01,21,,1938,Pittsburgh Pirates
vaughar01,21,,1939,Pittsburgh Pirates
vaughar01,21,,1940,Pittsburgh Pirates
vaughar01,21,,1941,Pittsburgh Pirates
vaughar01,5,,1942,Brooklyn Dodgers
vaughar01,5,,1943,Brooklyn Dodgers
vaughar01,9,,1947,Brooklyn Dodgers
vaughar01,9,,1948,Brooklyn Dodgers
colemvi01,29,60000.0,1985,St. Louis Cardinals
colemvi01,29,150000.0,1986,St. Louis Cardinals
colemvi01,29,160000.0,1987,St. Louis Cardinals
colemvi01,29,700000.0,1988,St. Louis Cardinals
colemvi01,29,775000.0,1989,St. Louis Cardinals
colemvi01,29,1012500.0,1990,St. Louis Cardinals
colemvi01,1,2312500.0,1991,New York Mets
