Player ID,Team,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage
brocklo01,Team,SB,CS,SB%
brocklo01,1961 Cubs,0,0,.000
brocklo01,1962 Cubs,16,7,.696
brocklo01,1963 Cubs,24,12,.667
brocklo01,1964 Cubs,10,3,.769
brocklo01,1964 Cardinals,33,15,.688
brocklo01,1965 Cardinals,63,27,.700
brocklo01,1966 Cardinals,74,18,.804
brocklo01,1967 Cardinals,52,18,.743
brocklo01,1968 Cardinals,62,12,.838
brocklo01,1969 Cardinals,53,14,.791
brocklo01,1970 Cardinals,51,15,.773
brocklo01,1971 Cardinals,64,19,.771
brocklo01,1972 Cardinals,63,18,.778
brocklo01,1973 Cardinals,70,20,.778
brocklo01,1974 Cardinals,118,33,.781
brocklo01,1975 Cardinals,56,16,.778
brocklo01,1976 Cardinals,56,19,.747
brocklo01,1977 Cardinals,35,24,.593
brocklo01,1978 Cardinals,17,5,.773
brocklo01,1979 Cardinals,21,12,.636
brocklo01,Career,SB,CS,SB%
brocklo01,19 Years,938,307,.753
hoydu01,Team,SB,CS,SB%
hoydu01,1888 Senators,82,-,-
hoydu01,1889 Senators,35,-,-
hoydu01,1890 Bisons,39,-,-
hoydu01,1891 Browns,59,-,-
hoydu01,1892 Senators,60,-,-
hoydu01,1893 Senators,48,-,-
hoydu01,1894 Reds,27,-,-
hoydu01,1895 Reds,50,-,-
hoydu01,1896 Reds,50,-,-
hoydu01,1897 Reds,37,-,-
hoydu01,1898 Colonels,37,-,-
hoydu01,1899 Colonels,32,-,-
hoydu01,1901 White Sox,27,-,-
hoydu01,1902 Reds,11,-,-
hoydu01,Career,SB,CS,SB%
hoydu01,14 Years,594,-,-
anderjo01,Team,SB,CS,SB%
anderjo01,1894 Bridegrooms,7,-,-
anderjo01,1895 Bridegrooms,24,-,-
anderjo01,1896 Bridegrooms,37,-,-
anderjo01,1897 Bridegrooms,29,-,-
anderjo01,1898 Bridegrooms,2,-,-
anderjo01,1898 Senators,18,-,-
anderjo01,1899 Superbas,25,-,-
anderjo01,1901 Brewers,35,-,-
anderjo01,1902 Browns,15,-,-
anderjo01,1903 Browns,16,-,-
anderjo01,1904 Highlanders,20,-,-
anderjo01,1905 Highlanders,9,-,-
anderjo01,1905 Senators,22,-,-
anderjo01,1906 Senators,39,-,-
anderjo01,1907 Senators,19,-,-
anderjo01,1908 White Sox,21,-,-
anderjo01,Career,SB,CS,SB%
anderjo01,14 Years,338,-,-
stirnsn01,Team,SB,CS,SB%
stirnsn01,1943 Yankees,11,9,.550
stirnsn01,1944 Yankees,55,11,.833
stirnsn01,1945 Yankees,33,17,.660
stirnsn01,1946 Yankees,18,6,.750
stirnsn01,1947 Yankees,5,3,.625
stirnsn01,1948 Yankees,5,4,.556
stirnsn01,1949 Yankees,3,2,.600
stirnsn01,1950 Yankees,0,0,.000
stirnsn01,1950 Browns,3,3,.500
stirnsn01,1951 Indians,1,0,1.000
stirnsn01,1952 Indians,0,0,.000
stirnsn01,Career,SB,CS,SB%
stirnsn01,10 Years,134,55,.709
huntebr02,Team,SB,CS,SB%
huntebr02,1994 Astros,2,1,.667
huntebr02,1995 Astros,24,7,.774
huntebr02,1996 Astros,35,9,.795
huntebr02,1997 Tigers,74,18,.804
huntebr02,1998 Tigers,42,12,.778
huntebr02,1999 Tigers,0,3,.000
huntebr02,1999 Mariners,44,5,.898
huntebr02,2000 Rockies,15,3,.833
huntebr02,2000 Reds,5,0,1.000
