Year,League,Player ID,Player Name,Team,Bases Stolen
Year,American League,,American League,Team(s),Stolen Bases
Year,National League,,National League,Team(s),Stolen Bases
1876,American League,,-,-,-
1876,National League,,-,-,-
1877,American League,,-,-,-
1877,National League,,-,-,-
1878,American League,,-,-,-
1878,National League,,-,-,-
1879,American League,,-,-,-
1879,National League,,-,-,-
1880,American League,,-,-,-
1880,National League,,-,-,-
1881,American League,,-,-,-
1881,National League,,-,-,-
1882,American League,,-,-,-
1882,National League,,-,-,-
1883,American League,,-,-,-
1883,National League,,-,-,-
1884,American League,,-,-,-
1884,National League,,-,-,-
1885,American League,,-,-,-
1885,National League,,-,-,-
1886,American League,,-,-,-
1886,National League,andreed01,Ed Andrews,Philadelphia,56
1887,American League,,-,-,-
1887,National League,wardjo01,John Ward,New York,111
1888,American League,,-,-,-
1888,National League,hoydu01,Dummy Hoy,Washington,82
1889,American League,,-,-,-
1889,National League,fogarji01,Jim Fogarty,Philadelphia,99
1890,American League,,-,-,-
1890,National League,hamilbi01,Billy Hamilton,Philadelphia,102
1891,American League,,-,-,-
1891,National League,hamilbi01,Billy Hamilton,Philadelphia,111
1892,American League,,-,-,-
1892,National League,wardjo01,John Ward,Brooklyn,88
1893,American League,,-,-,-
1893,National League,brownto01,Tom Brown,Louisville,66
1894,American League,,-,-,-
1894,National League,hamilbi01,Billy Hamilton,Philadelphia,98
1895,American League,,-,-,-
1895,National League,hamilbi01,Billy Hamilton,Philadelphia,97
1896,American League,,-,-,-
1896,National League,kellejo01,Joe Kelley,Baltimore,87
1897,American League,,-,-,-
1897,National League,langebi01,Bill Lange,Chicago,73
1898,American League,,-,-,-
1898,National League,delahed01,Ed Delahanty,Philadelphia,58
1899,American League,,-,-,-
1899,National League,sheckji01,Jimmy Sheckard,Baltimore,77
1900,American League,,-,-,-
1900,National League,donovpa01,Patsy Donovan,St. Louis,45
1901,American League,isbelfr01,Frank Isbell,Chicago,52
1901,National League,wagneho01,Honus Wagner,Pittsburgh,49
1902,American League,hartsto01,Topsy Hartsel,Philadelphia,47
1902,National League,wagneho01,Honus Wagner,Pittsburgh,42
1903,American League,bayha01,Harry Bay,Cleveland,45
1903,National League,chancfr01,Frank Chance,Chicago,67
1904,American League,bayha01,Harry Bay,Cleveland,38
1904,National League,wagneho01,Honus Wagner,Pittsburgh,53
1905,American League,hoffmda01,Danny Hoffman,Philadelphia,46
1905,National League,devliar01,Art Devlin,New York,59
1906,American League,anderjo01,John Anderson,Washington,39
1906,National League,chancfr01,Frank Chance,Chicago,57
1907,American League,cobbty01,Ty Cobb,Detroit,49
1907,National League,wagneho01,Honus Wagner,Pittsburgh,61
1908,American League,doughpa01,Patsy Dougherty,Chicago,47
1908,National League,wagneho01,Honus Wagner,Pittsburgh,53
1909,American League,cobbty01,Ty Cobb,Detroit,76
1909,National League,beschbo01,Bob Bescher,Cincinnati,54
1910,American League,collied01,Eddie Collins,Philadelphia,81
1910,National League,beschbo01,Bob Bescher,Cincinnati,70
1911,American League,cobbty01,Ty Cobb,Detroit,83
1911,National League,beschbo01,Bob Bescher,Cincinnati,80
1912,American League,milancl01,Clyde Milan,Washington,88
1912,National League,beschbo01,Bob Bescher,Cincinnati,67
1913,American League,milancl01,Clyde Milan,Washington,75
1913,National League,careyma01,Max Carey,Pittsburgh,61
1914,American League,maisefr01,Fritz Maisel,New York,74
1914,National League,burnsge01,George Burns,New York,62
1915,American League,cobbty01,Ty Cobb,Detroit,96
1915,National League,careyma01,Max Carey,Pittsburgh,36
1916,American League,cobbty01,Ty Cobb,Detroit,68
1916,National League,careyma01,Max Carey,Pittsburgh,63
1917,American League,cobbty01,Ty Cobb,Detroit,55
1917,National League,careyma01,Max Carey,Pittsburgh,46
1918,American League,sislege01,George Sisler,St. Louis,45
1918,National League,careyma01,Max Carey,Pittsburgh,58
1919,American League,collied01,Eddie Collins,Chicago,33
1919,National League,burnsge01,George Burns,New York,40
1920,American League,ricesa01,Sam Rice,Washington,63
1920,National League,careyma01,Max Carey,Pittsburgh,52
1921,American League,sislege01,George Sisler,St. Louis,35
1921,National League,friscfr01,Frankie Frisch,New York,49
1922,American League,sislege01,George Sisler,St. Louis,51
1922,National League,careyma01,Max Carey,Pittsburgh,51
1923,American League,collied01,Eddie Collins,Chicago,48
