Player ID,Team,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage
brocklo01,Team,SB,CS,SB%
brocklo01,Career,SB,CS,SB%
hoydu01,Team,SB,CS,SB%
hoydu01,Career,SB,CS,SB%
anderjo01,Team,SB,CS,SB%
anderjo01,Career,SB,CS,SB%
stirnsn01,Team,SB,CS,SB%
stirnsn01,Career,SB,CS,SB%
huntebr02,Team,SB,CS,SB%
huntebr02,Career,SB,CS,SB%
ricesa01,Team,SB,CS,SB%
ricesa01,Career,SB,CS,SB%
soriaal01,Team,SB,CS,SB%
soriaal01,Career,SB,CS,SB%
vaughar01,Team,SB,CS,SB%
vaughar01,Career,SB,CS,SB%
colemvi01,Team,SB,CS,SB%
colemvi01,Career,SB,CS,SB%
loftoke01,Team,SB,CS,SB%
loftoke01,Career,SB,CS,SB%
galanau01,Team,SB,CS,SB%
galanau01,Career,SB,CS,SB%
hartsto01,Team,SB,CS,SB%
hartsto01,Career,SB,CS,SB%
hackst01,Team,SB,CS,SB%
hackst01,Career,SB,CS,SB%
bayha01,Team,SB,CS,SB%
bayha01,Career,SB,CS,SB%
harpeto01,Team,SB,CS,SB%
harpeto01,Career,SB,CS,SB%
campabe01,Team,SB,CS,SB%
campabe01,Career,SB,CS,SB%
sheckji01,Team,SB,CS,SB%
sheckji01,Career,SB,CS,SB%
grissma02,Team,SB,CS,SB%
grissma02,Career,SB,CS,SB%
henderi01,Team,SB,CS,SB%
henderi01,Career,SB,CS,SB%
troutmi01,Team,SB,CS,SB%
troutmi01,Career,SB,CS,SB%
damonjo01,Team,SB,CS,SB%
damonjo01,Career,SB,CS,SB%
cabaljo01,Team,SB,CS,SB%
cabaljo01,Career,SB,CS,SB%
chapmbe01,Team,SB,CS,SB%
chapmbe01,Career,SB,CS,SB%
aparilu01,Team,SB,CS,SB%
aparilu01,Career,SB,CS,SB%
gordode01,Team,SB,CS,SB%
gordode01,Career,SB,CS,SB%
mondera02,Team,SB,CS,SB%
mondera02,Career,SB,CS,SB%
crawfca02,Team,SB,CS,SB%
crawfca02,Career,SB,CS,SB%
otisam01,Team,SB,CS,SB%
otisam01,Career,SB,CS,SB%
