Year,League,Player ID,Player Name,Team,Bases Stolen
Year,American League,,American League,Team(s),Stolen Bases
Year,National League,,National League,Team(s),Stolen Bases
1876,American League,,-,-,-
1876,National League,,-,-,-
1877,American League,,-,-,-
1877,National League,,-,-,-
1878,American League,,-,-,-
1878,National League,,-,-,-
1879,American League,,-,-,-
1879,National League,,-,-,-
1880,American League,,-,-,-
1880,National League,,-,-,-
1881,American League,,-,-,-
1881,National League,,-,-,-
1882,American League,,-,-,-
1882,National League,,-,-,-
1883,American League,,-,-,-
1883,National League,,-,-,-
1884,American League,,-,-,-
1884,National League,,-,-,-
1885,American League,,-,-,-
1885,National League,,-,-,-
1886,American League,,-,-,-
1887,American League,,-,-,-
1888,American League,,-,-,-
1889,American League,,-,-,-
1890,American League,,-,-,-
1891,American League,,-,-,-
1892,American League,,-,-,-
1893,American League,,-,-,-
1894,American League,,-,-,-
1895,American League,,-,-,-
1896,American League,,-,-,-
1897,American League,,-,-,-
1898,American League,,-,-,-
1899,American League,,-,-,-
1900,American League,,-,-,-
Year,American League,,American League,Team(s),Stolen Bases
Year,National League,,National League,Team(s),Stolen Bases
